DATE,HOUR,STATION,FSP
5/4/2017,19,CENTRAL/WESTERN,25
5/4/2017,20,CENTRAL/WESTERN,23
5/4/2017,21,CENTRAL/WESTERN,33
5/4/2017,22,CENTRAL/WESTERN,32
5/4/2017,23,CENTRAL/WESTERN,34
5/4/2017,24,CENTRAL/WESTERN,33
6/4/2017,1,CENTRAL/WESTERN,30
6/4/2017,2,CENTRAL/WESTERN,29
6/4/2017,3,CENTRAL/WESTERN,27
6/4/2017,4,CENTRAL/WESTERN,27
6/4/2017,5,CENTRAL/WESTERN,26
6/4/2017,6,CENTRAL/WESTERN,21
6/4/2017,7,CENTRAL/WESTERN,22
6/4/2017,8,CENTRAL/WESTERN,22
6/4/2017,9,CENTRAL/WESTERN,23
6/4/2017,10,CENTRAL/WESTERN,24
6/4/2017,11,CENTRAL/WESTERN,27
6/4/2017,12,CENTRAL/WESTERN,23
6/4/2017,13,CENTRAL/WESTERN,26
6/4/2017,14,CENTRAL/WESTERN,25
6/4/2017,15,CENTRAL/WESTERN,31
6/4/2017,16,CENTRAL/WESTERN,27
6/4/2017,17,CENTRAL/WESTERN,26
6/4/2017,18,CENTRAL/WESTERN,25
6/4/2017,19,CENTRAL/WESTERN,26
6/4/2017,20,CENTRAL/WESTERN,24
6/4/2017,21,CENTRAL/WESTERN,30
6/4/2017,22,CENTRAL/WESTERN,29
6/4/2017,23,CENTRAL/WESTERN,25
6/4/2017,24,CENTRAL/WESTERN,29
7/4/2017,1,CENTRAL/WESTERN,31
7/4/2017,2,CENTRAL/WESTERN,27
7/4/2017,3,CENTRAL/WESTERN,31
7/4/2017,4,CENTRAL/WESTERN,25
7/4/2017,5,CENTRAL/WESTERN,28
7/4/2017,6,CENTRAL/WESTERN,25
7/4/2017,7,CENTRAL/WESTERN,26
7/4/2017,8,CENTRAL/WESTERN,28
7/4/2017,9,CENTRAL/WESTERN,22
7/4/2017,10,CENTRAL/WESTERN,26
7/4/2017,11,CENTRAL/WESTERN,28
7/4/2017,12,CENTRAL/WESTERN,27
7/4/2017,13,CENTRAL/WESTERN,26
7/4/2017,14,CENTRAL/WESTERN,23
7/4/2017,15,CENTRAL/WESTERN,21
7/4/2017,16,CENTRAL/WESTERN,19
7/4/2017,17,CENTRAL/WESTERN,24
7/4/2017,18,CENTRAL/WESTERN,22
7/4/2017,19,CENTRAL/WESTERN,22
7/4/2017,20,CENTRAL/WESTERN,28
7/4/2017,21,CENTRAL/WESTERN,34
7/4/2017,22,CENTRAL/WESTERN,33
7/4/2017,23,CENTRAL/WESTERN,31
7/4/2017,24,CENTRAL/WESTERN,39
8/4/2017,1,CENTRAL/WESTERN,32
8/4/2017,2,CENTRAL/WESTERN,25
8/4/2017,3,CENTRAL/WESTERN,21
8/4/2017,4,CENTRAL/WESTERN,21
8/4/2017,5,CENTRAL/WESTERN,20
8/4/2017,6,CENTRAL/WESTERN,20
8/4/2017,7,CENTRAL/WESTERN,23
8/4/2017,8,CENTRAL/WESTERN,24
8/4/2017,9,CENTRAL/WESTERN,24
8/4/2017,10,CENTRAL/WESTERN,25
8/4/2017,11,CENTRAL/WESTERN,27
8/4/2017,12,CENTRAL/WESTERN,28
8/4/2017,13,CENTRAL/WESTERN,22
8/4/2017,14,CENTRAL/WESTERN,11
8/4/2017,15,CENTRAL/WESTERN,N.A.
8/4/2017,16,CENTRAL/WESTERN,13
8/4/2017,17,CENTRAL/WESTERN,11
8/4/2017,18,CENTRAL/WESTERN,11
8/4/2017,19,CENTRAL/WESTERN,14
8/4/2017,20,CENTRAL/WESTERN,16
8/4/2017,21,CENTRAL/WESTERN,12
8/4/2017,22,CENTRAL/WESTERN,13
8/4/2017,23,CENTRAL/WESTERN,11
8/4/2017,24,CENTRAL/WESTERN,11
9/4/2017,1,CENTRAL/WESTERN,10
9/4/2017,2,CENTRAL/WESTERN,10
9/4/2017,3,CENTRAL/WESTERN,11
9/4/2017,4,CENTRAL/WESTERN,11
9/4/2017,5,CENTRAL/WESTERN,14
9/4/2017,6,CENTRAL/WESTERN,15
9/4/2017,7,CENTRAL/WESTERN,11
9/4/2017,8,CENTRAL/WESTERN,11
9/4/2017,9,CENTRAL/WESTERN,15
9/4/2017,10,CENTRAL/WESTERN,14
9/4/2017,11,CENTRAL/WESTERN,14
9/4/2017,12,CENTRAL/WESTERN,15
9/4/2017,13,CENTRAL/WESTERN,12
9/4/2017,14,CENTRAL/WESTERN,15
9/4/2017,15,CENTRAL/WESTERN,11
9/4/2017,16,CENTRAL/WESTERN,14
9/4/2017,17,CENTRAL/WESTERN,14
9/4/2017,18,CENTRAL/WESTERN,16
9/4/2017,19,CENTRAL/WESTERN,15
9/4/2017,20,CENTRAL/WESTERN,14
9/4/2017,21,CENTRAL/WESTERN,11
9/4/2017,22,CENTRAL/WESTERN,11
9/4/2017,23,CENTRAL/WESTERN,11
9/4/2017,24,CENTRAL/WESTERN,9
10/4/2017,1,CENTRAL/WESTERN,10
10/4/2017,2,CENTRAL/WESTERN,8
10/4/2017,3,CENTRAL/WESTERN,9
10/4/2017,4,CENTRAL/WESTERN,11
10/4/2017,5,CENTRAL/WESTERN,11
10/4/2017,6,CENTRAL/WESTERN,10
10/4/2017,7,CENTRAL/WESTERN,9
10/4/2017,8,CENTRAL/WESTERN,11
10/4/2017,9,CENTRAL/WESTERN,12
10/4/2017,10,CENTRAL/WESTERN,12
10/4/2017,11,CENTRAL/WESTERN,11
10/4/2017,12,CENTRAL/WESTERN,12
10/4/2017,13,CENTRAL/WESTERN,10
10/4/2017,14,CENTRAL/WESTERN,9
10/4/2017,15,CENTRAL/WESTERN,10
10/4/2017,16,CENTRAL/WESTERN,10
10/4/2017,17,CENTRAL/WESTERN,10
10/4/2017,18,CENTRAL/WESTERN,7
10/4/2017,19,CENTRAL/WESTERN,10
10/4/2017,20,CENTRAL/WESTERN,12
10/4/2017,21,CENTRAL/WESTERN,14
10/4/2017,22,CENTRAL/WESTERN,10
10/4/2017,23,CENTRAL/WESTERN,9
10/4/2017,24,CENTRAL/WESTERN,9
11/4/2017,1,CENTRAL/WESTERN,11
11/4/2017,2,CENTRAL/WESTERN,8
11/4/2017,3,CENTRAL/WESTERN,10
11/4/2017,4,CENTRAL/WESTERN,10
11/4/2017,5,CENTRAL/WESTERN,11
11/4/2017,6,CENTRAL/WESTERN,18
11/4/2017,7,CENTRAL/WESTERN,14
11/4/2017,8,CENTRAL/WESTERN,15
11/4/2017,9,CENTRAL/WESTERN,15
11/4/2017,10,CENTRAL/WESTERN,18
11/4/2017,11,CENTRAL/WESTERN,21
11/4/2017,12,CENTRAL/WESTERN,18
11/4/2017,13,CENTRAL/WESTERN,20
11/4/2017,14,CENTRAL/WESTERN,18
11/4/2017,15,CENTRAL/WESTERN,17
11/4/2017,16,CENTRAL/WESTERN,18
11/4/2017,17,CENTRAL/WESTERN,14
11/4/2017,18,CENTRAL/WESTERN,11
11/4/2017,19,CENTRAL/WESTERN,13
11/4/2017,20,CENTRAL/WESTERN,15
11/4/2017,21,CENTRAL/WESTERN,15
11/4/2017,22,CENTRAL/WESTERN,16
11/4/2017,23,CENTRAL/WESTERN,38
11/4/2017,24,CENTRAL/WESTERN,37
12/4/2017,1,CENTRAL/WESTERN,33
12/4/2017,2,CENTRAL/WESTERN,22
12/4/2017,3,CENTRAL/WESTERN,11
12/4/2017,4,CENTRAL/WESTERN,12
12/4/2017,5,CENTRAL/WESTERN,10
12/4/2017,6,CENTRAL/WESTERN,13
12/4/2017,7,CENTRAL/WESTERN,11
12/4/2017,8,CENTRAL/WESTERN,14
12/4/2017,9,CENTRAL/WESTERN,11
12/4/2017,10,CENTRAL/WESTERN,12
12/4/2017,11,CENTRAL/WESTERN,13
12/4/2017,12,CENTRAL/WESTERN,13
12/4/2017,13,CENTRAL/WESTERN,13
12/4/2017,14,CENTRAL/WESTERN,11
12/4/2017,15,CENTRAL/WESTERN,12
12/4/2017,16,CENTRAL/WESTERN,17
12/4/2017,17,CENTRAL/WESTERN,22
12/4/2017,18,CENTRAL/WESTERN,18
12/4/2017,19,CENTRAL/WESTERN,20
12/4/2017,20,CENTRAL/WESTERN,11
12/4/2017,21,CENTRAL/WESTERN,13
12/4/2017,22,CENTRAL/WESTERN,18
12/4/2017,23,CENTRAL/WESTERN,15
12/4/2017,24,CENTRAL/WESTERN,16
13/4/2017,1,CENTRAL/WESTERN,16
13/4/2017,2,CENTRAL/WESTERN,13
13/4/2017,3,CENTRAL/WESTERN,10
13/4/2017,4,CENTRAL/WESTERN,10
13/4/2017,5,CENTRAL/WESTERN,8
13/4/2017,6,CENTRAL/WESTERN,11
13/4/2017,7,CENTRAL/WESTERN,13
13/4/2017,8,CENTRAL/WESTERN,14
13/4/2017,9,CENTRAL/WESTERN,10
13/4/2017,10,CENTRAL/WESTERN,13
13/4/2017,11,CENTRAL/WESTERN,14
13/4/2017,12,CENTRAL/WESTERN,13
13/4/2017,13,CENTRAL/WESTERN,12
13/4/2017,14,CENTRAL/WESTERN,20
13/4/2017,15,CENTRAL/WESTERN,20
13/4/2017,16,CENTRAL/WESTERN,18
13/4/2017,17,CENTRAL/WESTERN,23
13/4/2017,18,CENTRAL/WESTERN,24
13/4/2017,19,CENTRAL/WESTERN,24
13/4/2017,20,CENTRAL/WESTERN,24
13/4/2017,21,CENTRAL/WESTERN,27
13/4/2017,22,CENTRAL/WESTERN,28
13/4/2017,23,CENTRAL/WESTERN,24
13/4/2017,24,CENTRAL/WESTERN,23
14/4/2017,1,CENTRAL/WESTERN,26
14/4/2017,2,CENTRAL/WESTERN,33
14/4/2017,3,CENTRAL/WESTERN,30
14/4/2017,4,CENTRAL/WESTERN,29
14/4/2017,5,CENTRAL/WESTERN,29
14/4/2017,6,CENTRAL/WESTERN,34
14/4/2017,7,CENTRAL/WESTERN,28
14/4/2017,8,CENTRAL/WESTERN,24
14/4/2017,9,CENTRAL/WESTERN,26
14/4/2017,10,CENTRAL/WESTERN,29
14/4/2017,11,CENTRAL/WESTERN,26
14/4/2017,12,CENTRAL/WESTERN,29
14/4/2017,13,CENTRAL/WESTERN,33
14/4/2017,14,CENTRAL/WESTERN,32
14/4/2017,15,CENTRAL/WESTERN,33
14/4/2017,16,CENTRAL/WESTERN,35
14/4/2017,17,CENTRAL/WESTERN,30
14/4/2017,18,CENTRAL/WESTERN,32
14/4/2017,19,CENTRAL/WESTERN,28
14/4/2017,20,CENTRAL/WESTERN,29
14/4/2017,21,CENTRAL/WESTERN,25
14/4/2017,22,CENTRAL/WESTERN,23
14/4/2017,23,CENTRAL/WESTERN,22
14/4/2017,24,CENTRAL/WESTERN,22
15/4/2017,1,CENTRAL/WESTERN,25
15/4/2017,2,CENTRAL/WESTERN,28
15/4/2017,3,CENTRAL/WESTERN,27
15/4/2017,4,CENTRAL/WESTERN,26
15/4/2017,5,CENTRAL/WESTERN,25
15/4/2017,6,CENTRAL/WESTERN,26
15/4/2017,7,CENTRAL/WESTERN,29
15/4/2017,8,CENTRAL/WESTERN,22
15/4/2017,9,CENTRAL/WESTERN,23
15/4/2017,10,CENTRAL/WESTERN,26
15/4/2017,11,CENTRAL/WESTERN,27
15/4/2017,12,CENTRAL/WESTERN,33
15/4/2017,13,CENTRAL/WESTERN,30
15/4/2017,14,CENTRAL/WESTERN,27
15/4/2017,15,CENTRAL/WESTERN,25
15/4/2017,16,CENTRAL/WESTERN,24
15/4/2017,17,CENTRAL/WESTERN,29
15/4/2017,18,CENTRAL/WESTERN,34
15/4/2017,19,CENTRAL/WESTERN,32
15/4/2017,20,CENTRAL/WESTERN,38
15/4/2017,21,CENTRAL/WESTERN,41
15/4/2017,22,CENTRAL/WESTERN,38
15/4/2017,23,CENTRAL/WESTERN,36
15/4/2017,24,CENTRAL/WESTERN,39
16/4/2017,1,CENTRAL/WESTERN,44
16/4/2017,2,CENTRAL/WESTERN,42
16/4/2017,3,CENTRAL/WESTERN,45
16/4/2017,4,CENTRAL/WESTERN,45
16/4/2017,5,CENTRAL/WESTERN,36
16/4/2017,6,CENTRAL/WESTERN,33
16/4/2017,7,CENTRAL/WESTERN,29
16/4/2017,8,CENTRAL/WESTERN,28
16/4/2017,9,CENTRAL/WESTERN,28
16/4/2017,10,CENTRAL/WESTERN,28
16/4/2017,11,CENTRAL/WESTERN,23
16/4/2017,12,CENTRAL/WESTERN,18
16/4/2017,13,CENTRAL/WESTERN,17
16/4/2017,14,CENTRAL/WESTERN,18
16/4/2017,15,CENTRAL/WESTERN,15
16/4/2017,16,CENTRAL/WESTERN,12
16/4/2017,17,CENTRAL/WESTERN,11
16/4/2017,18,CENTRAL/WESTERN,12
16/4/2017,19,CENTRAL/WESTERN,12
16/4/2017,20,CENTRAL/WESTERN,13
16/4/2017,21,CENTRAL/WESTERN,18
16/4/2017,22,CENTRAL/WESTERN,20
16/4/2017,23,CENTRAL/WESTERN,17
16/4/2017,24,CENTRAL/WESTERN,10
17/4/2017,1,CENTRAL/WESTERN,15
17/4/2017,2,CENTRAL/WESTERN,20
17/4/2017,3,CENTRAL/WESTERN,21
17/4/2017,4,CENTRAL/WESTERN,22
17/4/2017,5,CENTRAL/WESTERN,20
17/4/2017,6,CENTRAL/WESTERN,23
17/4/2017,7,CENTRAL/WESTERN,27
17/4/2017,8,CENTRAL/WESTERN,25
17/4/2017,9,CENTRAL/WESTERN,27
17/4/2017,10,CENTRAL/WESTERN,19
17/4/2017,11,CENTRAL/WESTERN,12
17/4/2017,12,CENTRAL/WESTERN,15
17/4/2017,13,CENTRAL/WESTERN,16
17/4/2017,14,CENTRAL/WESTERN,17
17/4/2017,15,CENTRAL/WESTERN,17
17/4/2017,16,CENTRAL/WESTERN,18
17/4/2017,17,CENTRAL/WESTERN,23
17/4/2017,18,CENTRAL/WESTERN,22
17/4/2017,19,CENTRAL/WESTERN,18
17/4/2017,20,CENTRAL/WESTERN,19
17/4/2017,21,CENTRAL/WESTERN,16
17/4/2017,22,CENTRAL/WESTERN,17
17/4/2017,23,CENTRAL/WESTERN,10
17/4/2017,24,CENTRAL/WESTERN,6
18/4/2017,1,CENTRAL/WESTERN,8
18/4/2017,2,CENTRAL/WESTERN,12
18/4/2017,3,CENTRAL/WESTERN,11
18/4/2017,4,CENTRAL/WESTERN,15
18/4/2017,5,CENTRAL/WESTERN,19
18/4/2017,6,CENTRAL/WESTERN,20
18/4/2017,7,CENTRAL/WESTERN,21
18/4/2017,8,CENTRAL/WESTERN,21
18/4/2017,9,CENTRAL/WESTERN,26
18/4/2017,10,CENTRAL/WESTERN,31
18/4/2017,11,CENTRAL/WESTERN,26
18/4/2017,12,CENTRAL/WESTERN,36
18/4/2017,13,CENTRAL/WESTERN,45
18/4/2017,14,CENTRAL/WESTERN,30
18/4/2017,15,CENTRAL/WESTERN,24
18/4/2017,16,CENTRAL/WESTERN,30
18/4/2017,17,CENTRAL/WESTERN,32
18/4/2017,18,CENTRAL/WESTERN,30
18/4/2017,19,CENTRAL/WESTERN,35
18/4/2017,20,CENTRAL/WESTERN,38
18/4/2017,21,CENTRAL/WESTERN,34
18/4/2017,22,CENTRAL/WESTERN,35
18/4/2017,23,CENTRAL/WESTERN,29
18/4/2017,24,CENTRAL/WESTERN,32
19/4/2017,1,CENTRAL/WESTERN,27
19/4/2017,2,CENTRAL/WESTERN,24
19/4/2017,3,CENTRAL/WESTERN,20
19/4/2017,4,CENTRAL/WESTERN,20
19/4/2017,5,CENTRAL/WESTERN,21
19/4/2017,6,CENTRAL/WESTERN,18
19/4/2017,7,CENTRAL/WESTERN,17
19/4/2017,8,CENTRAL/WESTERN,16
19/4/2017,9,CENTRAL/WESTERN,15
19/4/2017,10,CENTRAL/WESTERN,16
19/4/2017,11,CENTRAL/WESTERN,15
19/4/2017,12,CENTRAL/WESTERN,11
19/4/2017,13,CENTRAL/WESTERN,10
19/4/2017,14,CENTRAL/WESTERN,12
19/4/2017,15,CENTRAL/WESTERN,N.A.
19/4/2017,16,CENTRAL/WESTERN,N.A.
19/4/2017,17,CENTRAL/WESTERN,12
19/4/2017,18,CENTRAL/WESTERN,7
19/4/2017,19,CENTRAL/WESTERN,9
19/4/2017,20,CENTRAL/WESTERN,9
19/4/2017,21,CENTRAL/WESTERN,8
19/4/2017,22,CENTRAL/WESTERN,8
19/4/2017,23,CENTRAL/WESTERN,8
19/4/2017,24,CENTRAL/WESTERN,12
20/4/2017,1,CENTRAL/WESTERN,11
20/4/2017,2,CENTRAL/WESTERN,9
20/4/2017,3,CENTRAL/WESTERN,11
20/4/2017,4,CENTRAL/WESTERN,10
20/4/2017,5,CENTRAL/WESTERN,11
20/4/2017,6,CENTRAL/WESTERN,8
20/4/2017,7,CENTRAL/WESTERN,10
20/4/2017,8,CENTRAL/WESTERN,13
20/4/2017,9,CENTRAL/WESTERN,12
20/4/2017,10,CENTRAL/WESTERN,11
20/4/2017,11,CENTRAL/WESTERN,11
20/4/2017,12,CENTRAL/WESTERN,13
20/4/2017,13,CENTRAL/WESTERN,12
20/4/2017,14,CENTRAL/WESTERN,9
20/4/2017,15,CENTRAL/WESTERN,9
20/4/2017,16,CENTRAL/WESTERN,12
20/4/2017,17,CENTRAL/WESTERN,14
20/4/2017,18,CENTRAL/WESTERN,11
20/4/2017,19,CENTRAL/WESTERN,7
20/4/2017,20,CENTRAL/WESTERN,8
20/4/2017,21,CENTRAL/WESTERN,12
20/4/2017,22,CENTRAL/WESTERN,14
20/4/2017,23,CENTRAL/WESTERN,15
20/4/2017,24,CENTRAL/WESTERN,16
21/4/2017,1,CENTRAL/WESTERN,18
21/4/2017,2,CENTRAL/WESTERN,16
21/4/2017,3,CENTRAL/WESTERN,14
21/4/2017,4,CENTRAL/WESTERN,14
21/4/2017,5,CENTRAL/WESTERN,16
21/4/2017,6,CENTRAL/WESTERN,14
21/4/2017,7,CENTRAL/WESTERN,16
21/4/2017,8,CENTRAL/WESTERN,14
21/4/2017,9,CENTRAL/WESTERN,16
21/4/2017,10,CENTRAL/WESTERN,16
21/4/2017,11,CENTRAL/WESTERN,15
21/4/2017,12,CENTRAL/WESTERN,16
21/4/2017,13,CENTRAL/WESTERN,16
21/4/2017,14,CENTRAL/WESTERN,18
21/4/2017,15,CENTRAL/WESTERN,19
21/4/2017,16,CENTRAL/WESTERN,18
21/4/2017,17,CENTRAL/WESTERN,17
21/4/2017,18,CENTRAL/WESTERN,14
21/4/2017,19,CENTRAL/WESTERN,8
21/4/2017,20,CENTRAL/WESTERN,11
21/4/2017,21,CENTRAL/WESTERN,17
21/4/2017,22,CENTRAL/WESTERN,21
21/4/2017,23,CENTRAL/WESTERN,24
21/4/2017,24,CENTRAL/WESTERN,32
22/4/2017,1,CENTRAL/WESTERN,29
22/4/2017,2,CENTRAL/WESTERN,17
22/4/2017,3,CENTRAL/WESTERN,12
22/4/2017,4,CENTRAL/WESTERN,13
22/4/2017,5,CENTRAL/WESTERN,13
22/4/2017,6,CENTRAL/WESTERN,12
22/4/2017,7,CENTRAL/WESTERN,14
22/4/2017,8,CENTRAL/WESTERN,19
22/4/2017,9,CENTRAL/WESTERN,20
22/4/2017,10,CENTRAL/WESTERN,24
22/4/2017,11,CENTRAL/WESTERN,25
22/4/2017,12,CENTRAL/WESTERN,23
22/4/2017,13,CENTRAL/WESTERN,24
22/4/2017,14,CENTRAL/WESTERN,26
22/4/2017,15,CENTRAL/WESTERN,25
22/4/2017,16,CENTRAL/WESTERN,22
22/4/2017,17,CENTRAL/WESTERN,19
22/4/2017,18,CENTRAL/WESTERN,26
22/4/2017,19,CENTRAL/WESTERN,31
22/4/2017,20,CENTRAL/WESTERN,27
22/4/2017,21,CENTRAL/WESTERN,25
22/4/2017,22,CENTRAL/WESTERN,28
22/4/2017,23,CENTRAL/WESTERN,24
22/4/2017,24,CENTRAL/WESTERN,25
23/4/2017,1,CENTRAL/WESTERN,20
23/4/2017,2,CENTRAL/WESTERN,21
23/4/2017,3,CENTRAL/WESTERN,18
23/4/2017,4,CENTRAL/WESTERN,20
23/4/2017,5,CENTRAL/WESTERN,16
23/4/2017,6,CENTRAL/WESTERN,16
23/4/2017,7,CENTRAL/WESTERN,16
23/4/2017,8,CENTRAL/WESTERN,15
23/4/2017,9,CENTRAL/WESTERN,17
23/4/2017,10,CENTRAL/WESTERN,17
23/4/2017,11,CENTRAL/WESTERN,17
23/4/2017,12,CENTRAL/WESTERN,19
23/4/2017,13,CENTRAL/WESTERN,21
23/4/2017,14,CENTRAL/WESTERN,23
23/4/2017,15,CENTRAL/WESTERN,27
23/4/2017,16,CENTRAL/WESTERN,30
23/4/2017,17,CENTRAL/WESTERN,36
